"Indeks","IndeksSkanu","IndeksZlecenia","IndeksDodatka","Duplicated"
806117,825996,316268,,1
806118,825997,314944,,0
806119,825997,314993,,0
806120,826001,314938,,0
806121,826003,316266,,1
806122,826004,316257,,0
806123,826005,316003,,0
806124,826006,314909,,0
806125,826008,314919,,0
806126,826008,314985,,0
806127,826010,316266,,1
806128,826011,316010,,0
806129,826012,316138,,0
806130,826013,316266,,1
806131,826014,316266,,1
806132,826015,314913,,0
806133,826016,314912,,0
806134,826017,314915,,0
806135,826019,314914,,0
806136,826022,314911,,0
806137,826021,316267,,0
806138,826024,315863,,0
806139,826025,314941,,0
806140,826027,316267,,1
806141,826028,314904,,0
806142,826029,314934,,0
806143,826031,314933,,0
806144,826032,314932,,0
806145,826033,316267,,1
806146,826034,314931,,0
806147,826035,314902,,0
806148,826036,314905,,0
806149,826037,314901,,0
806150,826038,316267,,1
806151,826039,316208,,1
806152,826042,316208,,1
806153,826044,316155,,0
806154,826046,316151,,0
806155,826047,316209,,1
806156,826049,316004,,0
806157,826050,315812,,0
806158,826050,315828,,0
806159,826050,315852,,0
806160,826052,316271,,0
806161,826053,316272,,0
806162,826054,314910,,0
806163,826056,314908,,0
806164,826059,314906,,0
806165,826061,314935,,0
806166,826062,316272,,1
806167,826063,316208,,1
806168,826065,314918,,0
806169,826065,314984,,0
806170,826067,314916,,0
806171,826067,314982,,0
806172,826069,314943,,0
806173,826069,314992,,0
806174,826070,316209,,1
806175,826072,316271,,1
806176,826082,316272,,1
806177,826083,316272,,1
806178,826084,316144,,0
806179,826085,315425,,0
806180,826085,315426,,0
806181,826085,315430,,0
806182,826086,316011,,0
806183,826087,316272,,1
806184,826088,316271,,1
806185,826089,316271,,1
806186,826090,316158,,0
806187,826091,316271,,1
806188,826092,316145,,0
806189,826093,316270,,0
806190,826094,316270,,1
806191,826095,316269,,0
806192,826096,316269,,1
806193,826097,316269,,1
806194,826098,316269,,1
806195,826099,316270,,1
806196,826100,316270,,1
806197,826101,316041,,0
806198,826101,316043,,0
806199,826102,316042,,0
806200,826102,316044,,0
806201,826103,316009,,0
806202,826104,316187,,1
806203,826105,316133,,1
806204,826106,315809,,0
806205,826106,315825,,0
806206,826106,315849,,0
806207,826108,315805,,0
806208,826108,315821,,0
806209,826108,315845,,0
806210,826110,315811,,0
806211,826110,315827,,0
806212,826110,315851,,0
806213,826112,315819,,0
806214,826112,315835,,0
806215,826112,315859,,0
806216,826115,316161,,0
806217,826116,316006,,0
806218,826117,315806,,0
806219,826117,315822,,0
806220,826117,315846,,0
806221,826119,315813,,0
806222,826119,315829,,0
806223,826119,315853,,0
806224,826121,315810,,0
806225,826121,315826,,0
806226,826121,315850,,0
806227,826123,315807,,0
806228,826123,315823,,0
806229,826123,315847,,0
806230,826125,315817,,0
806231,826125,315833,,0
806232,826125,315857,,0
806233,826127,315804,,0
806234,826127,315820,,0
806235,826127,315844,,0
806236,826129,314951,,0
806237,826129,314996,,0
806238,826130,316146,,0
806239,826132,314952,,0
806240,826132,314997,,0
806241,826134,315507,,0
806242,826136,315506,,0
806243,826138,315511,,0
806244,826140,315512,,0
806245,826142,315515,,0
806246,826144,315517,,0
806247,826146,315513,,0
806248,826148,315514,,0
806249,826152,316149,,0
806250,826153,316162,,0
806251,826154,316154,,0
806252,826155,314891,,0
806253,826156,314885,,0
806254,826157,314883,,0
806255,826158,314888,,0
806256,826159,314887,,0
806257,826161,314893,,0
806258,826162,314894,,0
806259,826163,314900,,0
806260,826164,314889,,0
806261,826165,314886,,0
806262,826168,314892,,0
806263,826169,314898,,0
806264,826170,314896,,0
806265,826171,314895,,0
806266,826172,316159,,0
806267,826173,316160,,0
806268,826174,315965,,0
806269,826175,316156,,0
806270,826177,316157,,0
806271,826178,316176,,0
806272,826179,316207,,0
806273,826183,316206,,0
806274,826187,316207,,1
806275,826190,316206,,1
806276,826191,316206,,1
806277,826192,316205,,0
806278,826193,316205,,1
806279,826195,315958,,0
806280,826196,316206,,1
806281,826198,316205,,1
806282,826200,316205,,1
806283,826202,316207,,1
806284,826203,316150,,0
806285,826204,316177,,0
806286,826205,315966,,0
806287,826206,316178,,0
806288,826207,316181,,0
806289,826208,316240,,0
806290,826211,315332,,0
806291,826211,315336,,0
806292,826213,315330,,0
806293,826213,315331,,0
806294,826213,315335,,0
806295,826215,316179,,0
806296,826216,315803,,0
806297,826217,315333,,0
806298,826217,315334,,0
806299,826217,315337,,0
806300,826219,315657,,0
806301,826219,315658,,0
806302,826219,315659,,0
806303,826220,315799,,0
806304,826222,315647,,0
806305,826222,315648,,0
806306,826222,315649,,0
806307,826224,315800,,0
806308,826225,315802,,0
806309,826226,316182,,0
806310,826227,315798,,0
806311,826228,315801,,0
806312,826229,315961,,0
806313,826230,315818,,0
806314,826230,315834,,0
806315,826230,315858,,0
806316,826232,316254,,0
806317,826233,316257,,1
806318,826234,316184,,0
806319,826235,316185,,0
806320,826236,316180,,0
806321,826237,316177,,0
806322,826239,316186,,0
806323,826240,316183,,0
806324,826241,316109,,0
806325,826242,316251,,0
806326,826243,316249,,0
806327,826244,316248,,0
806328,826245,315970,,0
806329,826246,315959,,0
806330,826248,315964,,0
806331,826249,315969,,0
806332,826251,315960,,0
806333,826252,316173,,0
806334,826253,315860,,0
806335,826254,316162,,0
806336,826255,316005,,0
806337,826256,314947,,0
806338,826258,314910,,0
806339,826259,314938,,0
806340,826260,314937,,0
806341,826261,314907,,0
806342,826262,314949,,0
806343,826263,314925,,0
806344,826264,314923,,0
806345,826265,314922,,0
806346,826266,314927,,0
806347,826266,314988,,0
806348,826267,314928,,0
806349,826267,314989,,0
806350,826268,314930,,0
806351,826268,314991,,0
806352,826269,314953,,0
806353,826269,314998,,0
806354,826270,314917,,0
806355,826270,314983,,0
806356,826271,314945,,0
806357,826271,314994,,0
806358,826272,314944,,0
806359,826272,314993,,0
806360,826273,314920,,0
806361,826273,314986,,0
806362,826274,314951,,0
806363,826274,314996,,0
806364,826275,314948,,0
806365,826276,314906,,0
806366,826277,314935,,0
806367,826279,314908,,0
806368,826280,314909,,0
806369,826281,314936,,0
806370,826282,314950,,0
806371,826283,314921,,0
806372,826284,314924,,0
806373,826285,314929,,0
806374,826285,314990,,0
806375,826286,314926,,0
806376,826286,314987,,0
806377,826287,314954,,0
806378,826287,314999,,0
806379,826288,314946,,0
806380,826288,314995,,0
806381,826289,316008,,0
806382,826290,314919,,0
806383,826290,314985,,0
806384,826291,314918,,0
806385,826291,314984,,0
806386,826292,315974,,0
806387,826294,314943,,0
806388,826294,314992,,0
806389,826296,314916,,0
806390,826296,314982,,0
806391,826297,314952,,0
806392,826297,314997,,0
806393,826298,315973,,0
806394,826299,315978,,0
806395,826300,316249,,0
806396,826301,316046,,0
806397,826302,316011,,0
806398,826303,315861,,0
806399,826304,315971,,0
806400,826305,316010,,0
806401,826307,316007,,0
806402,826310,315862,,0
806403,826312,316006,,0
806404,826313,316169,,0
806405,826314,316130,,0
806406,826315,316170,,0
806407,826317,316251,,0
806408,826318,316131,,0
806409,826319,316161,,0
806410,826320,316187,,0
806411,826321,316110,,0
806412,826323,316165,,0
806413,826324,316155,,0
806414,826325,315696,,0
806415,826325,315704,,0
806416,826327,316274,,0
806417,826328,316150,,0
806418,826329,316274,,1
806419,826330,315924,,0
806420,826330,315958,,0
806421,826331,316274,,1
806422,826332,316274,,1
806423,826333,316154,,0
806424,826334,316165,,0
806425,826335,316248,,0
806426,826336,316166,,0
806427,826337,316126,,0
806428,826338,315963,,0
806429,826339,316156,,0
806430,826339,316157,,0
806431,826339,316158,,0
806432,826340,316274,,1
806433,826343,316274,,1
806434,826345,316045,,0
806435,826348,316273,,0
806436,826349,315968,,0
806437,826350,316273,,1
806438,826351,316273,,1
806439,826352,315838,,0
806440,826353,316273,,1
806441,826354,316151,,0
806442,826355,316166,,0
806443,826356,316277,,0
806444,826357,315962,,0
806445,826358,316277,,1
806446,826359,316152,,0
806447,826363,316277,,1
806448,826365,316158,,0
806449,826366,316277,,1
806450,826367,315927,,0
806451,826367,315961,,0
806452,826368,315967,,0
806453,826369,316109,,0
806454,826370,316277,,1
806455,826371,316149,,0
806456,826372,316277,,1
806457,826373,315879,,0
806458,826373,315897,,0
806459,826375,315882,,0
806460,826375,315900,,0
806461,826377,315883,,0
806462,826377,315901,,0
806463,826379,315748,,0
806464,826379,315776,,0
806465,826381,314874,,0
806466,826381,314973,,0
806467,826382,314862,,0
806468,826382,314961,,0
806469,826383,314864,,0
806470,826383,314963,,0
806471,826384,314860,,0
806472,826384,314959,,0
806473,826385,314858,,0
806474,826385,314957,,0
806475,826386,314871,,0
806476,826386,314970,,0
806477,826387,315466,,0
806478,826389,316169,,0
806479,826390,314870,,0
806480,826390,314969,,0
806481,826391,314865,,0
806482,826391,314964,,0
806483,826392,314868,,0
806484,826392,314967,,0
806485,826393,314859,,0
806486,826393,314958,,0
806487,826394,316125,,0
806488,826395,314880,,0
806489,826395,314979,,0
806490,826396,314881,,0
806491,826396,314980,,0
806492,826397,316275,,0
806493,826399,316275,,1
806494,826400,315717,,0
806495,826400,315727,,0
806496,826402,315499,,0
806497,826402,315501,,0
806498,826404,315466,,0
806499,826404,315467,,0
806500,826405,316124,,0
806501,826406,316275,,1
806502,826408,316276,,0
806503,826409,316275,,1
806504,826410,316141,,0
806505,826411,316276,,1
806506,826412,316276,,1
806507,826413,316142,,0
806508,826414,316276,,1
806509,826415,316138,,0
806510,826416,316277,,1
806511,826417,316277,,1
806512,826418,316277,,1
806513,826421,316147,,0
806514,826422,316092,,0
806515,826424,316186,,0
806516,826426,316236,,1
806517,826428,316170,,0
806518,826432,316235,,1
806519,826434,316235,,1
806520,826437,316236,,1
806521,826438,315771,,0
806522,826440,315771,,1
806523,826441,315771,,1
806524,826442,316121,,0
806525,826443,315878,,0
806526,826443,315896,,0
806527,826445,316235,,1
806528,826447,315977,,0
806529,826450,315758,,0
806530,826450,315786,,0
806531,826454,315884,,0
806532,826454,315902,,0
806533,826456,315755,,0
806534,826456,315783,,0
806535,826458,315760,,0
806536,826458,315788,,0
806537,826462,316132,,0
806538,826463,316177,,0
806539,826464,316107,,0
806540,826465,316280,,0
806541,826466,316235,,1
806542,826468,316280,,1
806543,826469,316236,,1
806544,826470,316236,,1
806545,826473,315975,,0
806546,826474,316176,,0
806547,826475,316280,,1
806548,826476,316238,,0
806549,826480,316239,,0
806550,826482,316280,,1
806551,826483,314861,,0
806552,826483,314960,,0
806553,826484,314876,,0
806554,826484,314975,,0
806555,826485,316237,,0
806556,826486,316280,,1
806557,826488,314897,,0
806558,826489,314884,,0
806559,826490,314899,,0
806560,826491,314890,,0
806561,826492,316240,,1
806562,826493,314940,,0
806563,826494,314939,,0
806564,826495,314942,,0
806565,826496,314903,,0
806566,826498,316280,,1
806567,826499,316238,,1
806568,826501,315976,,0
806569,826502,316239,,1
806570,826504,316237,,1
806571,826506,315761,,0
806572,826506,315789,,0
806573,826508,315750,,0
806574,826508,315778,,0
806575,826511,315759,,0
806576,826511,315787,,0
806577,826514,316039,,0
806578,826515,316239,,1
806579,826516,316238,,1
806580,826517,316238,,1
806581,826518,316239,,1
806582,826520,316189,,0
806583,826521,316185,,0
806584,826522,316167,,0
806585,826523,316171,,0
806586,826524,316168,,0
806587,826526,316071,,0
806588,826527,316241,,0
806589,826529,316163,,0
806590,826533,316091,,0
806591,826534,316241,,1
806592,826535,316241,,1
806593,826537,316143,,0
806594,826538,316140,,0
806595,826539,316172,,0
806596,826540,316240,,1
806597,826542,316153,,0
806598,826543,316280,,1
806599,826544,316237,,1
806600,826545,316280,,1
806601,826546,316237,,1
806602,826547,316144,,0
806603,826548,315749,,0
806604,826548,315777,,0
806605,826549,316280,,1
806606,826552,315888,,0
806607,826552,315906,,0
806608,826554,316280,,1
806609,826556,316280,,1
806610,826557,316280,,1
806611,826558,315772,,0
806612,826559,316280,,1
806613,826560,316167,,0
806614,826561,316278,,0
806615,826562,316278,,1
806616,826563,315889,,0
806617,826563,315907,,0
806618,826565,315774,,0
806619,826570,316278,,1
806620,826571,316279,,0
806621,826572,316168,,0
806622,826573,316278,,1
806623,826574,316281,,0
806624,826575,316279,,1
806625,826577,316281,,1
806626,826578,315773,,0
806627,826579,316279,,1
806628,826580,316279,,1
806629,826582,316094,,0
806630,826584,316281,,1
806631,826585,316281,,1
806632,826586,316150,,0
806633,826586,316153,,0
806634,826587,316257,,0
806635,826588,316279,,1
806636,826589,315773,,0
806637,826592,316093,,0
806638,826593,315775,,0
806639,826594,316284,,0
806640,826595,316284,,1
806641,826596,316284,,1
806642,826597,316214,,0
806643,826599,316095,,0
806644,826600,315774,,0
806645,826601,316284,,1
806646,826602,316164,,0
806647,826603,316284,,1
806648,826604,315885,,0
806649,826604,315903,,0
806650,826609,316216,,0
806651,826614,315886,,0
806652,826614,315904,,0
806653,826616,316217,,0
806654,826618,316284,,1
806655,826619,316284,,1
806656,826620,316247,,0
806657,826621,316284,,1
806658,826622,316284,,1
806659,826623,316214,,1
806660,826625,316284,,1
806661,826626,316215,,1
806662,826628,316284,,1
806663,826629,316123,,0
806664,826630,316283,,0
806665,826631,316254,,0
806666,826632,316216,,1
806667,826633,316282,,0
806668,826635,315775,,0
806669,826636,316282,,1
806670,826637,316215,,1
806671,826642,316215,,1
806672,826643,316215,,1
806673,826644,316282,,1
806674,826645,316282,,1
806675,826646,316214,,1
806676,826648,316216,,1
806677,826650,316283,,1
806678,826651,316283,,1
806679,826652,316217,,1
806680,826654,315891,,0
806681,826654,315909,,0
806682,826657,316217,,1
806683,826658,315892,,0
806684,826658,315910,,0
806685,826662,316283,,1
806686,826663,316216,,1
806687,826664,315881,,0
806688,826664,315899,,0
806689,826665,316163,,0
806690,826668,316174,,0
806691,826669,316217,,1
806692,826671,316214,,1
